image,tank_h,water_h
..\..\data\images\data_5_2_0010.jpg,tensor([405.3788]),tensor([383.0266])
..\..\data\images\data_5_2_0011.jpg,tensor([406.1809]),tensor([379.9789])
..\..\data\images\data_5_2_0012.jpg,tensor([406.0253]),tensor([373.6327])
..\..\data\images\data_5_2_0013.jpg,tensor([405.9511]),tensor([368.7405])
..\..\data\images\data_5_2_0014.jpg,tensor([405.6326]),tensor([364.2090])
..\..\data\images\data_5_2_0015.jpg,tensor([406.1684]),tensor([359.4510])
..\..\data\images\data_5_2_0016.jpg,tensor([405.3151]),tensor([355.7208])
..\..\data\images\data_5_2_0017.jpg,tensor([404.7975]),tensor([349.8348])
..\..\data\images\data_5_2_0018.jpg,tensor([404.6718]),tensor([343.9814])
..\..\data\images\data_5_2_0019.jpg,tensor([404.3492]),tensor([339.4525])
..\..\data\images\data_5_2_0020.jpg,tensor([404.6272]),tensor([333.3003])
..\..\data\images\data_5_2_0021.jpg,tensor([405.0558]),tensor([330.3152])
..\..\data\images\data_5_2_0022.jpg,tensor([404.7249]),tensor([325.0504])
..\..\data\images\data_5_2_0023.jpg,tensor([404.5062]),tensor([321.3338])
..\..\data\images\data_5_2_0024.jpg,tensor([404.5799]),tensor([318.3697])
..\..\data\images\data_5_2_0025.jpg,tensor([404.5735]),tensor([313.2774])
..\..\data\images\data_5_2_0026.jpg,tensor([404.6175]),tensor([310.4936])
..\..\data\images\data_5_2_0027.jpg,tensor([404.4355]),tensor([307.1502])
..\..\data\images\data_5_2_0028.jpg,tensor([404.5549]),tensor([303.1596])
..\..\data\images\data_5_2_0029.jpg,tensor([404.4661]),tensor([299.7850])
..\..\data\images\data_5_2_0030.jpg,tensor([404.5179]),tensor([295.3377])
..\..\data\images\data_5_2_0031.jpg,tensor([403.7185]),tensor([284.2545])
..\..\data\images\data_5_2_0032.jpg,tensor([404.0678]),tensor([281.3941])
..\..\data\images\data_5_2_0033.jpg,tensor([404.2768]),tensor([276.5556])
..\..\data\images\data_5_2_0034.jpg,tensor([404.6588]),tensor([272.7988])
..\..\data\images\data_5_2_0035.jpg,tensor([404.3736]),tensor([268.8233])
..\..\data\images\data_5_2_0036.jpg,tensor([404.5344]),tensor([264.7159])
..\..\data\images\data_5_2_0037.jpg,tensor([404.2932]),tensor([261.0245])
..\..\data\images\data_5_2_0038.jpg,tensor([404.8777]),tensor([258.6623])
..\..\data\images\data_5_2_0039.jpg,tensor([404.8412]),tensor([255.4307])
..\..\data\images\data_5_2_0040.jpg,tensor([404.7021]),tensor([251.8883])
..\..\data\images\data_5_2_0041.jpg,tensor([405.0996]),tensor([249.3286])
..\..\data\images\data_5_2_0042.jpg,tensor([405.2581]),tensor([246.1439])
..\..\data\images\data_5_2_0043.jpg,tensor([405.7155]),tensor([241.7594])
..\..\data\images\data_5_2_0044.jpg,tensor([405.4281]),tensor([238.4231])
..\..\data\images\data_5_2_0045.jpg,tensor([405.0149]),tensor([234.2051])
..\..\data\images\data_5_2_0046.jpg,tensor([404.8392]),tensor([228.4712])
..\..\data\images\data_5_2_0047.jpg,tensor([405.3262]),tensor([226.5389])
..\..\data\images\data_5_2_0048.jpg,tensor([404.6837]),tensor([221.8233])
..\..\data\images\data_5_2_0049.jpg,tensor([404.9410]),tensor([215.1796])
..\..\data\images\data_5_2_0050.jpg,tensor([404.3958]),tensor([212.1985])
..\..\data\images\data_5_2_0051.jpg,tensor([404.8351]),tensor([209.1012])
..\..\data\images\data_5_2_0052.jpg,tensor([404.8071]),tensor([206.8337])
..\..\data\images\data_5_2_0053.jpg,tensor([404.5653]),tensor([203.9751])
..\..\data\images\data_5_2_0054.jpg,tensor([404.8657]),tensor([200.8498])
..\..\data\images\data_5_2_0055.jpg,tensor([404.8564]),tensor([198.3579])
..\..\data\images\data_5_2_0056.jpg,tensor([404.8419]),tensor([195.6897])
